HANDLE,c_address,c_lra,c_typeDetail,c_typeSimple
15545000440,4459 ITASKA ST,FALSE,"vacant building, confirmed",building
15547000310,4413 DELOR ST,FALSE,"vacant building, confirmed",building
14739000148,3260 BRANNON AV,FALSE,"vacant building, confirmed",building
14767020200,3334 LEOLA AV,FALSE,"vacant building, possible",building
14786000161,7225 ARSENAL ST,FALSE,"vacant lot, possible",lot
14789000060,2740 ELLENDALE AV,FALSE,"vacant lot, possible",lot
14826000590,5719-21 DR MARTIN LUTHER KING DR,TRUE,"vacant lot, confirmed",lot
14847000120,5209 KENSINGTON AV,FALSE,"vacant building, possible",building
14873000490,4185 ENRIGHT AV,TRUE,"vacant lot, confirmed",lot
14875000265,4100 DELMAR BLVD,TRUE,"vacant lot, confirmed",lot
14882000080,6130 EMMA AV,FALSE,"vacant building, confirmed",building
14892000360,6457 NASHVILLE AV,FALSE,"vacant building, confirmed",building
14897000310,4139 GREEN LEA PL,FALSE,"vacant lot, possible",lot
14914000005,1968 GOODFELLOW BLVD,FALSE,"vacant building, possible",building
14914000760,1954 GOODFELLOW BLVD,TRUE,"vacant lot, confirmed",lot
14915000080,3952 BOTANICAL AV,FALSE,"vacant building, possible",building
14964000090,4046 FOLSOM AV,FALSE,"vacant lot, possible",lot
14969000352,4169 BLAINE AV,FALSE,"vacant lot, possible",lot
15014000390,4717 MAFFITT AV,FALSE,"vacant building, possible",building
15045000070,4550 WICHITA AV,FALSE,"vacant building, confirmed",building
15051010240,5030 DELMAR BLVD,FALSE,"vacant lot, confirmed",lot
15082000190,5458 CLAXTON AV,FALSE,"vacant building, possible",building
15083000150,5344 CLAXTON AV,FALSE,"vacant building, possible",building
15085000400,5347 RUSKIN AV,FALSE,"vacant building, confirmed",building
15087000015,5000-20 UNION BLVD,TRUE,"vacant lot, confirmed",lot
15087000015,5000-20 UNION BLVD,TRUE,"vacant lot, confirmed",lot
15087000015,5000-20 UNION BLVD,TRUE,"vacant lot, confirmed",lot
15087000015,5000-20 UNION BLVD,TRUE,"vacant lot, confirmed",lot
15087000015,5000-20 UNION BLVD,TRUE,"vacant lot, confirmed",lot
15090000110,4932 UNION BLVD,FALSE,"vacant lot, possible",lot
15117000050,3745 LOUIS ST,FALSE,"vacant building, possible",building
15181000250,5314 SAVOY CT,FALSE,"vacant lot, possible",lot
15185000320,3837 SULLIVAN AV,FALSE,"vacant building, possible",building
15229040170,5123 ST LOUIS AV,FALSE,"vacant building, confirmed",building
15237000340,5600 LABADIE AV,FALSE,"vacant building, possible",building
15246000270,5345 ST LOUIS AV,FALSE,"vacant building, possible",building
15260000170,4922 LABADIE AV,FALSE,"vacant building, possible",building
15276000500,1011 WALL ST,FALSE,"vacant building, possible",building
15284000240,5215 PAULIAN PL,FALSE,"vacant building, possible",building
15344000440,6055 EMMA AV,FALSE,"vacant building, possible",building
15354000070,5819 THEODORE AV,FALSE,"vacant lot, possible",lot
15417000415,6177 WATERMAN BLVD,FALSE,"vacant lot, possible",lot
15434000050,8980 EDNA ST,FALSE,"vacant building, possible",building
15437000420,1650 S 39TH ST,FALSE,"vacant building, possible",building
15474000240,3855 BATES ST,FALSE,"vacant building, possible",building
15525000310,5507 BEACON AV,FALSE,"vacant building, possible",building
15529000490,5411 GENEVIEVE AV,TRUE,"vacant building, confirmed",building
15549000110,4734 WREN AV,TRUE,"vacant building, confirmed",building
15555000230,5341 TERRY AV,FALSE,"vacant building, confirmed",building
15557000310,5097 CLAXTON AV,FALSE,"vacant building, confirmed",building
15594000310,5033 ROSA AV,FALSE,"vacant building, confirmed",building
15605000330,1352 CENTRAL AV,FALSE,"vacant building, confirmed",building
15625000025,4166 MERAMEC ST,FALSE,"vacant building, possible",building
15627000100,8807 LOWELL ST,FALSE,"vacant building, confirmed",building
15720000120,5910 MCARTHUR AV,FALSE,"vacant building, confirmed",building
15740000320,5108 THEKLA AV,FALSE,"vacant building, confirmed",building
15744000190,5060 QUEENS AV,FALSE,"vacant building, confirmed",building
15785000380,5617 HILLER PL,FALSE,"vacant building, confirmed",building
15795000250,5827 RIVERVIEW BLVD,FALSE,"vacant building, confirmed",building
15804000210,6107 W FLORISSANT AV,FALSE,"vacant building, confirmed",building
15809000190,5979 SUMMIT AV,FALSE,"vacant building, confirmed",building
15820000030,4176 CONCORDIA AV,FALSE,"vacant building, confirmed",building
15906000210,4525 FLAD AV,FALSE,"vacant building, confirmed",building
15931000380,5553 HEBERT ST,FALSE,"vacant building, confirmed",building
15936000200,4227 EICHELBERGER ST,FALSE,"vacant building, confirmed",building
16096000210,5861 KENNERLY AV,FALSE,"vacant building, confirmed",building
16230000365,8712 ANNETTA ST,FALSE,"vacant building, confirmed",building
16279000200,8509 OXFORD LA,FALSE,"vacant building, confirmed",building
16283000200,5651 BANCROFT AV,FALSE,"vacant building, confirmed",building
16299000150,1231 MCLARAN AV,FALSE,"vacant building, confirmed",building
16348000040,8762 JORDAN ST,FALSE,"vacant building, confirmed",building
16348000100,8786 JORDAN ST,FALSE,"vacant building, confirmed",building
16348000250,819 HARLAN AV,FALSE,"vacant building, confirmed",building
16360000050,885 RIVERVIEW BLVD,FALSE,"vacant building, confirmed",building
16362000210,882 RIVERVIEW BLVD,FALSE,"vacant building, confirmed",building
15552000020,5890 KENNERLY AV,FALSE,"vacant building, confirmed",building
15554000420,5141 COLOGNE AV,FALSE,"vacant building, confirmed",building
15568000480,5209 EMERSON AV,FALSE,"vacant building, confirmed",building
15577000450,5439 CLAXTON AV,FALSE,"vacant building, confirmed",building
15625000035,4168 MERAMEC ST,FALSE,"vacant building, confirmed",building
15676000220,3835 OSCEOLA ST,FALSE,"vacant building, confirmed",building
15757000105,5801 NASHVILLE AV,FALSE,"vacant building, confirmed",building
15805000090,6142 NORTH POINTE BLVD,FALSE,"vacant building, confirmed",building
15806000350,6059 NORTH POINTE BLVD,FALSE,"vacant building, confirmed",building
15812000170,5963 RIVERVIEW BLVD,FALSE,"vacant building, confirmed",building
15842000290,4639 WILCOX AV,FALSE,"vacant building, confirmed",building
15883000240,4019 GILES AV,FALSE,"vacant building, confirmed",building
15936000170,4215 EICHELBERGER ST,FALSE,"vacant building, confirmed",building
16108000060,5938 LILLIAN AV,FALSE,"vacant building, confirmed",building
16116000150,6319 HENNER AV,FALSE,"vacant building, confirmed",building
16202000050,6600 ITASKA ST,FALSE,"vacant building, confirmed",building
16234000210,6209 THOLOZAN AV,FALSE,"vacant building, confirmed",building
16289000470,5251 CHIPPEWA ST,FALSE,"vacant building, confirmed",building
16336000080,5436 LINDENWOOD AV,FALSE,"vacant building, confirmed",building
16363000120,8781 JORDAN ST,FALSE,"vacant building, confirmed",building
15551000620,2502 HAMILTON AV,TRUE,"vacant lot, confirmed",lot
