HANDLE,p_address,c_address,p_lcra,p_lra,p_landBank,c_lra,p_typeSimple,c_typeDetail,c_typeSimple,compare_type,p_low
14244030180,8521 ORIOLE AVE,8521 ORIOLE AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14244040340,8537 PARTRIDGE AVE,8537 PARTRIDGE AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,FALSE
14245010130,8650 RIVERVIEW BLVD,8650 RIVERVIEW BLVD,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,TRUE
14246000130,8321 NEWBY ST,8321 NEWBY ST,FALSE,TRUE,TRUE,TRUE,building,"vacant building, confirmed",building,matched,TRUE
14246000160,8271 1/2 NEWBY ST,8271 1/2 NEWBY ST,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
14247010040,8641 ANNETTA ST,8641 ANNETTA ST,FALSE,FALSE,FALSE,FALSE,building,"vacant lot, confirmed",lot,unmatched,FALSE
14247010285,8409 - 8411 NEWBY ST,8409-11 NEWBY ST,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
14247010305,8413 - 8415 NEWBY ST,8413-5 NEWBY ST,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
14247010450,1261 GIMBLIN ST,1261 GIMBLIN ST,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
14247010660,8672 ORIOLE AVE,8672 ORIOLE AV,FALSE,FALSE,FALSE,FALSE,building,"vacant lot, possible",lot,unmatched,FALSE
14247010700,8684 ORIOLE AVE,8684 ORIOLE AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,FALSE
14247020270,8646 ANNETTA ST,8646 ANNETTA ST,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14248050050,1108 MCLARAN AVE,1108 MCLARAN AV,FALSE,TRUE,TRUE,TRUE,building,"vacant building, confirmed",building,matched,TRUE
14248050130,8441 HALLS FERRY RD,8441 CHURCH RD,FALSE,TRUE,TRUE,TRUE,building,"vacant building, confirmed",building,matched,TRUE
14248050140,8439 CHURCH RD,8439 CHURCH RD,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
14248050190,1019 SELLS AVE,1019 SELLS AV,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
14248050200,1021 SELLS AVE,1021 SELLS AV,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
14248050210,1023 SELLS AVE,1023 SELLS AV,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
14248050260,1045 SELLS AVE,1045 SELLS AV,FALSE,TRUE,TRUE,TRUE,building,"vacant building, confirmed",building,matched,TRUE
14248060130,8415 CHURCH RD,8415 CHURCH RD,FALSE,TRUE,TRUE,TRUE,building,"vacant building, confirmed",building,matched,TRUE
14248060140,8411 CHURCH RD,8411 CHURCH RD,FALSE,FALSE,FALSE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
14248060180,1019 GIMBLIN ST,1019 GIMBLIN ST,FALSE,TRUE,TRUE,TRUE,building,"vacant building, confirmed",building,matched,TRUE
14248060190,1029 GIMBLIN ST,1029 GIMBLIN ST,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,TRUE
